Site,year,Month,DateDay,SumOfKwh,Level,Meter
Carnival Film and Television - Agar Street,17,Sep,1/9/2017 00:00:00,7501.00,2nd Floor B,Day Units
Carnival Film and Television - Agar Street,17,Sep,1/9/2017 00:00:00,1331.00,2nd Floor B,Night Units
Carnival Film and Television - Agar Street,17,Oct,1/10/2017 00:00:00,7278.00,2nd Floor B,Day Units
Carnival Film and Television - Agar Street,17,Oct,1/10/2017 00:00:00,1041.00,2nd Floor B,Night Units
Carnival Film and Television - Agar Street,17,Nov,1/11/2017 00:00:00,6503.00,2nd Floor B,Day Units
Carnival Film and Television - Agar Street,17,Nov,1/11/2017 00:00:00,906.00,2nd Floor B,Night Units
Carnival Film and Television - Agar Street,17,Dec,1/12/2017 00:00:00,7072.00,2nd Floor B,Day Units
Carnival Film and Television - Agar Street,17,Dec,1/12/2017 00:00:00,1386.00,2nd Floor B,Night Units
Carnival Film and Television - Agar Street,18,Jan,1/1/2018 00:00:00,6799.00,2nd Floor B,Day Units
Carnival Film and Television - Agar Street,18,Jan,1/1/2018 00:00:00,1111.00,2nd Floor B,Night Units
Carnival Film and Television - Agar Street,18,Feb,1/2/2018 00:00:00,6211.00,2nd Floor B,Day Units
Carnival Film and Television - Agar Street,18,Feb,1/2/2018 00:00:00,1014.00,2nd Floor B,Night Units
Carnival Film and Television - Agar Street,18,Mar,1/3/2018 00:00:00,7072.00,2nd Floor B,Day Units
Carnival Film and Television - Agar Street,18,Mar,1/3/2018 00:00:00,1386.00,2nd Floor B,Night Units
Carnival Film and Television - Agar Street,18,Apr,1/4/2018 00:00:00,6503.00,2nd Floor B,Day Units
Carnival Film and Television - Agar Street,18,Apr,1/4/2018 00:00:00,906.00,2nd Floor B,Night Units
Carnival Film and Television - Agar Street,18,May,1/5/2018 00:00:00,7278.00,2nd Floor B,Day Units
Carnival Film and Television - Agar Street,18,May,1/5/2018 00:00:00,1041.00,2nd Floor B,Night Units
Carnival Film and Television - Agar Street,18,Jun,1/6/2018 00:00:00,6777.00,2nd Floor B,Day Units
Carnival Film and Television - Agar Street,18,Jun,1/6/2018 00:00:00,996.00,2nd Floor B,Night Units
Carnival Film and Television - Agar Street,18,Jul,1/7/2018 00:00:00,7501.00,2nd Floor B,Day Units
Carnival Film and Television - Agar Street,18,Jul,1/7/2018 00:00:00,1331.00,2nd Floor B,Night Units
Carnival Film and Television - Agar Street,18,Aug,1/8/2018 00:00:00,7521.00,2nd Floor B,Day Units
Carnival Film and Television - Agar Street,18,Aug,1/8/2018 00:00:00,1331.00,2nd Floor B,Night Units
CNBC - Fleet Place,18,Jan,1/1/2018 00:00:00,175027.00,Floor 6,ALL
CNBC - Fleet Place,18,Feb,1/2/2018 00:00:00,128045.00,Floor 6,ALL
CNBC - Fleet Place,18,Mar,1/3/2018 00:00:00,138907.00,Floor 6,ALL
CNBC - Fleet Place,18,Apr,1/4/2018 00:00:00,174552.00,Floor 6,ALL
CNBC - Fleet Place,18,May,1/5/2018 00:00:00,145788.00,Floor 6,ALL
CNBC - Fleet Place,18,Jun,1/6/2018 00:00:00,173462.00,Floor 6,ALL
CNBC - Fleet Place,18,Jul,1/7/2018 00:00:00,146137.00,Floor 6,ALL
CNBC - Fleet Place,18,Aug,1/8/2018 00:00:00,148308.00,Floor 6,ALL
CNBC - Fleet Place,18,Sep,1/9/2018 00:00:00,155666.00,Floor 6,ALL
CNBC - Fleet Place,18,Oct,1/10/2018 00:00:00,151775.00,Floor 6,ALL
CNBC - Fleet Place,18,Nov,1/11/2018 00:00:00,154978.00,Floor 6,ALL
CNBC - Fleet Place,18,Dec,1/12/2018 00:00:00,210286.00,Floor 6,ALL
Monkey Kingdom - Shoreditch High Street,17,Jan,1/1/2017 00:00:00,4325.00,Studio 5.02,E14D00499
Monkey Kingdom - Shoreditch High Street,17,Jan,1/1/2017 00:00:00,4698.00,Studio 5.03,E14D00493
Monkey Kingdom - Shoreditch High Street,17,Feb,1/2/2017 00:00:00,3341.00,Studio 5.02,E14D00499
Monkey Kingdom - Shoreditch High Street,17,Feb,1/2/2017 00:00:00,4472.00,Studio 5.03,E14D00493
Monkey Kingdom - Shoreditch High Street,17,Mar,1/3/2017 00:00:00,2699.00,Studio 5.02,E14D00499
Monkey Kingdom - Shoreditch High Street,17,Mar,1/3/2017 00:00:00,4930.00,Studio 5.03,E14D00493
Monkey Kingdom - Shoreditch High Street,17,Apr,1/4/2017 00:00:00,1848.00,Studio 5.02,E14D00499
Monkey Kingdom - Shoreditch High Street,17,Apr,1/4/2017 00:00:00,4634.00,Studio 5.03,E14D00493
Monkey Kingdom - Shoreditch High Street,17,May,1/5/2017 00:00:00,2457.00,Studio 5.02,E14D00499
Monkey Kingdom - Shoreditch High Street,17,May,1/5/2017 00:00:00,4914.00,Studio 5.03,E14D00493
Monkey Kingdom - Shoreditch High Street,17,Jun,1/6/2017 00:00:00,2366.00,Studio 5.02,E14D00499
Monkey Kingdom - Shoreditch High Street,17,Jun,1/6/2017 00:00:00,4468.00,Studio 5.03,E14D00493
Monkey Kingdom - Shoreditch High Street,17,Jul,1/7/2017 00:00:00,1664.00,Studio 5.02,E14D00499
Monkey Kingdom - Shoreditch High Street,17,Jul,1/7/2017 00:00:00,4578.00,Studio 5.03,E14D00493
Monkey Kingdom - Shoreditch High Street,17,Aug,1/8/2017 00:00:00,2216.00,Studio 5.02,E14D00499
Monkey Kingdom - Shoreditch High Street,17,Aug,1/8/2017 00:00:00,5100.00,Studio 5.03,E14D00493
Monkey Kingdom - Shoreditch High Street,17,Sep,1/9/2017 00:00:00,1774.00,Studio 5.02,E14D00499
Monkey Kingdom - Shoreditch High Street,17,Sep,1/9/2017 00:00:00,4715.00,Studio 5.03,E14D00493
Monkey Kingdom - Shoreditch High Street,17,Oct,1/10/2017 00:00:00,1827.00,Studio 5.02,E14D00499
Monkey Kingdom - Shoreditch High Street,17,Oct,1/10/2017 00:00:00,4814.00,Studio 5.03,E14D00493
Monkey Kingdom - Shoreditch High Street,17,Nov,1/11/2017 00:00:00,2272.00,Studio 5.02,E14D00499
Monkey Kingdom - Shoreditch High Street,17,Nov,1/11/2017 00:00:00,4878.00,Studio 5.03,E14D00493
Monkey Kingdom - Shoreditch High Street,17,Dec,1/12/2017 00:00:00,1615.00,Studio 5.02,E14D00499
Monkey Kingdom - Shoreditch High Street,17,Dec,1/12/2017 00:00:00,4142.00,Studio 5.03,E14D00493
Monkey Kingdom - Shoreditch High Street,18,Jan,1/1/2018 00:00:00,2775.00,Studio 5.02,E14D00499
Monkey Kingdom - Shoreditch High Street,18,Jan,1/1/2018 00:00:00,4821.00,Studio 5.03,E14D00493
Monkey Kingdom - Shoreditch High Street,18,Feb,1/2/2018 00:00:00,2496.00,Studio 5.02,E14D00499
Monkey Kingdom - Shoreditch High Street,18,Feb,1/2/2018 00:00:00,4490.00,Studio 5.03,E14D00493
Monkey Kingdom - Shoreditch High Street,18,Mar,1/3/2018 00:00:00,1839.00,Studio 5.02,E14D00499
Monkey Kingdom - Shoreditch High Street,18,Mar,1/3/2018 00:00:00,4850.00,Studio 5.03,E14D00493
Monkey Kingdom - Shoreditch High Street,18,Apr,1/4/2018 00:00:00,2053.00,Studio 5.02,E14D00499
Monkey Kingdom - Shoreditch High Street,18,Apr,1/4/2018 00:00:00,4862.00,Studio 5.03,E14D00493
Monkey Kingdom - Shoreditch High Street,18,May,1/5/2018 00:00:00,1368.00,Studio 5.02,E14D00499
Monkey Kingdom - Shoreditch High Street,18,May,1/5/2018 00:00:00,3831.00,Studio 5.03,E14D00493
NBC News Worldwide - Dukes Road,12,Oct,1/10/2012 00:00:00,6706.00,Building,S23553105
NBC News Worldwide - Dukes Road,12,Nov,1/11/2012 00:00:00,7075.00,Building,S23553105
NBC News Worldwide - Dukes Road,12,Dec,1/12/2012 00:00:00,6306.00,Building,S23553105
NBC News Worldwide - Dukes Road,13,Jan,1/1/2013 00:00:00,7094.00,Building,S23553105
NBC News Worldwide - Dukes Road,13,Feb,1/2/2013 00:00:00,7155.00,Building,S23553105
NBC News Worldwide - Dukes Road,13,Mar,1/3/2013 00:00:00,6385.00,Building,S23553105
NBC News Worldwide - Dukes Road,13,Apr,1/4/2013 00:00:00,6808.00,Building,S23553105
NBC News Worldwide - Dukes Road,13,May,1/5/2013 00:00:00,7035.00,Building,S23553105
NBC News Worldwide - Dukes Road,13,Jun,1/6/2013 00:00:00,6664.00,Building,S23553105
NBC News Worldwide - Dukes Road,13,Jul,1/7/2013 00:00:00,9536.00,Building,S23553105
NBC News Worldwide - Dukes Road,13,Aug,1/8/2013 00:00:00,5960.00,Building,S23553105
NBC News Worldwide - Dukes Road,13,Sep,1/9/2013 00:00:00,4781.00,Building,S23553105
NBC News Worldwide - Dukes Road,13,Oct,1/10/2013 00:00:00,8202.00,Building,S23553105
NBC News Worldwide - Dukes Road,13,Nov,1/11/2013 00:00:00,7020.00,Building,S23553105
NBC News Worldwide - Dukes Road,13,Dec,1/12/2013 00:00:00,7656.00,Building,S23553105
