Site,Level,Meter,DateDay,kWh
7,Building,S23553105,1/10/2012 00:00:00,6706
7,Building,S23553105,1/11/2012 00:00:00,7075
7,Building,S23553105,1/12/2012 00:00:00,6306
7,Building,S23553105,1/1/2013 00:00:00,7094
7,Building,S23553105,1/2/2013 00:00:00,7155
7,Building,S23553105,1/3/2013 00:00:00,6385
7,Building,S23553105,1/4/2013 00:00:00,6808
7,Building,S23553105,1/5/2013 00:00:00,7035
7,Building,S23553105,1/6/2013 00:00:00,6664
7,Building,S23553105,1/7/2013 00:00:00,9536
7,Building,S23553105,1/8/2013 00:00:00,5960
7,Building,S23553105,1/9/2013 00:00:00,4781
7,Building,S23553105,1/10/2013 00:00:00,8202
7,Building,S23553105,1/11/2013 00:00:00,7020
7,Building,S23553105,1/12/2013 00:00:00,7656
7,Building,S23553105,1/1/2014 00:00:00,7120
7,Building,S23553105,1/2/2014 00:00:00,0
7,Building,S23553105,1/3/2014 00:00:00,6739
7,Building,S23553105,1/4/2014 00:00:00,7717
7,Building,S23553105,1/5/2014 00:00:00,7974
7,Building,S23553105,1/6/2014 00:00:00,5106
7,Building,S23553105,1/7/2014 00:00:00,7249
7,Building,S23553105,1/8/2014 00:00:00,7249
7,Building,S23553105,1/9/2014 00:00:00,9997
7,Building,S23553105,1/10/2014 00:00:00,7897
7,Building,S23553105,1/11/2014 00:00:00,7642
7,Building,S23553105,1/12/2014 00:00:00,7897
7,Building,S23553105,1/1/2015 00:00:00,7897
7,Building,S23553105,1/2/2015 00:00:00,7133
7,Building,S23553105,1/3/2015 00:00:00,7897
7,Building,S23553105,1/4/2015 00:00:00,0
7,Building,S23553105,1/5/2015 00:00:00,7897
7,Building,S23553105,1/6/2015 00:00:00,7642
7,Building,S23553105,1/7/2015 00:00:00,8828
7,Building,S23553105,1/8/2015 00:00:00,8828
7,Building,S23553105,1/9/2015 00:00:00,8543
7,Building,S23553105,1/10/2015 00:00:00,8828
7,Building,S23553105,1/11/2015 00:00:00,9543
7,Building,S23553105,1/12/2015 00:00:00,17994
7,Building,S23553105,1/1/2016 00:00:00,8425
7,Building,S23553105,1/2/2016 00:00:00,7881
12,Studio 5.03,E14D00493,1/1/2017 00:00:00,4698
7,Building,S23553105,1/1/2017 00:00:00,8288
12,Studio 5.02,E14D00499,1/1/2017 00:00:00,4325
12,Studio 5.03,E14D00493,1/2/2017 00:00:00,4472
12,Studio 5.02,E14D00499,1/2/2017 00:00:00,3341
7,Building,S23553105,1/2/2017 00:00:00,11178
12,Studio 5.02,E14D00499,1/3/2017 00:00:00,2699
7,Building,S23553105,1/3/2017 00:00:00,8223
12,Studio 5.03,E14D00493,1/3/2017 00:00:00,4930
1,GMez & L1 - NBC CSG,0) L1 Core 1 Tenant SE Riser BD/TSE1P/L1,1/4/2017 00:00:00,4101
1,GMez & L1 - NBC CSG,281) L1 Core 2 Tenant N Riser BD/TNW2L(P)/L1,1/4/2017 00:00:00,4054
1,L2 & L3 N,261) L3 Core 2 Tenant N Riser BD/TNW2L(P)/L3,1/4/2017 00:00:00,3830
1,GMez & L1 - NBC CSG,282) L1 Core 1 Tenant NE Riser BD/TNE1L/L1,1/4/2017 00:00:00,2564
1,GMez & L1 - NBC CSG,0) L1 Core 1 Tenant NE Riser BD/TNE1P/L1,1/4/2017 00:00:00,2026
1,GMez & L1 - NBC CSG,287) L1 Core 1 Tenant SW Riser BD/TSW1L/L1,1/4/2017 00:00:00,3444
1,L2 & L3 N,Central (Landlord's) Misc Plant/Equipment kWh,1/4/2017 00:00:00,3007
1,GMez & L1 - NBC CSG,283) L1 Core 1 Tenant SE Riser BD/TSE1L/L1,1/4/2017 00:00:00,2494
1,L2 & L3 N,Central (Landlord's) Air Handling kWh,1/4/2017 00:00:00,2630
1,GMez & L1 - NBC CSG,284) L1 Core 3 Tenant SW Riser BD/TSW2L(P)/L1,1/4/2017 00:00:00,1996
1,GMez & L1 - NBC CSG,142) A6 LV3 NBC MER I/O Panel (Spare),1/4/2017 00:00:00,74662
1,GMez & L1 - NBC CSG,0) L1 Core 3 Tenant SW Riser BD/TSW2L/L1,1/4/2017 00:00:00,3334
1,GMez & L1 - NBC CSG,278) L1 Core 1 Tenant NW Riser BD/TNW1L/L1,1/4/2017 00:00:00,2572
1,GMez & L1 - NBC CSG,294) GF Core 1 Tenant SE Riser BD/TSEL/__,1/4/2017 00:00:00,756
1,GMez & L1 - NBC CSG,0) L1 Core 1 Tenant SW Riser BD/TSW1P/L1,1/4/2017 00:00:00,3156
1,GMez & L1 - NBC CSG,293) GF Core 1 Tenant NE Riser BD/TNEL/1PG__,1/4/2017 00:00:00,3017
1,GMez & L1 - NBC CSG,0) L1 Core 2 Tenant N Riser BD/TNW2L/L1,1/4/2017 00:00:00,3180
1,GMez & L1 - NBC CSG,131) A17 LV3 Spare DB/B2/IT,1/4/2017 00:00:00,1555
1,GMez & L1 - NBC CSG,Central (Landlord's) Misc Plant/Equipment,1/4/2017 00:00:00,2035
12,Studio 5.03,E14D00493,1/4/2017 00:00:00,4634
12,Studio 5.02,E14D00499,1/4/2017 00:00:00,1848
1,GMez & L1 - NBC CSG,Central (Landlord's) Air Handling,1/4/2017 00:00:00,1873
7,Building,S23553105,1/4/2017 00:00:00,7409
1,GMez & L1 - NBC CSG,Common Area,1/4/2017 00:00:00,8974
1,GMez & L1 - NBC CSG,Central (Landlord's) Chillers/Pumps,1/4/2017 00:00:00,26686
1,GMez & L1 - NBC CSG,0) GF Core 1 Tenant NE Riser BD/TNEL/1GL,1/4/2017 00:00:00,1818
1,L2 & L3 N,272) L2 Core 1 Tenant NE Riser BD/TNE1L/L2,1/4/2017 00:00:00,2600
1,Level 10,Central (Landlord's) Chillers/Pumps kWh:,1/4/2017 00:00:00,3489
1,Level 10,Common Area,1/4/2017 00:00:00,4937
1,L2 & L3 N,0) L2 Core 1 Tenant SW Riser BD/TSW1P/L2,1/4/2017 00:00:00,3835
1,L2 & L3 N,77) L2 Core 1 Tenant SW Riser BD/TSW1L/L2,1/4/2017 00:00:00,8018
1,L2 & L3 N,0) L2 Core 3 Tenant SW Riser BD/TSW2P/L2,1/4/2017 00:00:00,3347
1,L2 & L3 N,274) L2 Core 3 Tenant SW Riser BD/TSW2L/L2,1/4/2017 00:00:00,2549
1,L2 & L3 N,0) L2 Core 1 Tenant SE Riser BD/TSE1P/L2,1/4/2017 00:00:00,2126
1,Level 10,Central (Landlord's) Air Handling kWh,1/4/2017 00:00:00,1031
1,L2 & L3 N,Common Area,1/4/2017 00:00:00,12600
1,L2 & L3 N,0) L2 Core 1 Tenant NE Riser BD/TNE1P/L2,1/4/2017 00:00:00,1941
1,GMez & L1 - NBC CSG,0) L1 Core 1 Tenant NW Riser BD/TNW1P/L1,1/4/2017 00:00:00,4812
1,L2 & L3 N,0) L2 Core 2 Tenant N Riser BD/TNW2L/L2,1/4/2017 00:00:00,267
1,L2 & L3 N,271) L2 Core 2 Tenant N Riser BD/TNW2L(P)/L2,1/4/2017 00:00:00,4483
1,L2 & L3 N,0) L2 Core 1 Tenant NW Riser BD/TNW1P/L2,1/4/2017 00:00:00,3748
1,L2 & L3 N,268) L2 Core 1 Tenant NW Riser BD/TNW1L/L2,1/4/2017 00:00:00,2989
1,L2 & L3 N,262) L3 Core 1 Tenant NE Riser BD/TNE1L/L3 "new",1/4/2017 00:00:00,0
1,L2 & L3 N,0) L3 Core 1 Tenant NE Riser BD/TNE1L/L3,1/4/2017 00:00:00,860
1,L2 & L3 N,273) L2 Core 1 Tenant SE Riser BD/TSE1L/L2,1/4/2017 00:00:00,2166
1,L2 & L3 N,0) L3 Core 2 Tenant NW2 Riser BD/P,1/4/2017 00:00:00,2927
1,L2 & L3 N,i) 258) L3 Core 1 Tenant NW Riser BD/TNW1L/L3,1/4/2017 00:00:00,1447
1,Level 10,Central (Landlord's) Misc Plant/Equipment kWh,1/4/2017 00:00:00,1259
1,L2 & L3 N,0) L3 Core 1 Tenant NW Riser DB dub new,1/4/2017 00:00:00,3409
1,L2 & L3 N,0) L3 Core 1 Tenant NW Riser BD/TNW1P/L3 new,1/4/2017 00:00:00,2528
1,L2 & L3 N,Central (Landlord's) Chillers/Pumps kWh:,1/4/2017 00:00:00,12855
1,L2 & L3 N,0) L3 Core 2 Tenant N Riser BD/TNW2L/L1,1/4/2017 00:00:00,4514
1,Level 10,0) L10 Core 1 Tenant SW Riser BD/TSW1P/L10 & New,1/4/2017 00:00:00,0
1,Level 10,199) L10 Core 1 Tenant SW Riser BD/TSW1L/L10,1/4/2017 00:00:00,1021
1,Level 10,195) L10 Core 1 Tenant NE Riser BD/TNE1L/L10,1/4/2017 00:00:00,1035
